epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,53129.4,1.25574,0.85305,1.27494,0.8749,0.70095,0.80439,0.56532,1.23053,0.74143,1.10188,0.005842,0.005842,0.005842
44,54349.6,1.24214,0.8397,1.26488,0.87237,0.7069,0.80642,0.56664,1.22616,0.73837,1.09938,0.005743,0.005743,0.005743
45,55564.2,1.22888,0.82389,1.25954,0.87852,0.7069,0.80704,0.56865,1.22391,0.73567,1.09742,0.005644,0.005644,0.005644
46,56778.4,1.23406,0.83025,1.26019,0.88136,0.70749,0.80749,0.56932,1.21923,0.7325,1.09526,0.005545,0.005545,0.005545
47,57979.2,1.21472,0.8087,1.25071,0.88166,0.70873,0.80978,0.57116,1.21722,0.72896,1.0942,0.005446,0.005446,0.005446
48,59180.8,1.21523,0.8067,1.24765,0.88228,0.70846,0.8099,0.57214,1.21433,0.72575,1.09207,0.005347,0.005347,0.005347
49,60386.1,1.20719,0.79823,1.23944,0.88571,0.70957,0.80937,0.57299,1.21237,0.72674,1.09077,0.005248,0.005248,0.005248
50,61601.9,1.19723,0.78411,1.23349,0.88547,0.70326,0.80817,0.57453,1.20987,0.72542,1.08873,0.005149,0.005149,0.005149
51,62792.9,1.18816,0.77667,1.22712,0.89259,0.69976,0.80957,0.57476,1.2089,0.72263,1.08741,0.00505,0.00505,0.00505
52,64012.5,1.17822,0.76795,1.21905,0.8953,0.70095,0.81004,0.57608,1.20774,0.72044,1.08581,0.004951,0.004951,0.004951
53,65123.6,1.17393,0.76116,1.21718,0.89718,0.70155,0.81011,0.57788,1.20372,0.7184,1.08314,0.004852,0.004852,0.004852
54,66178.2,1.16366,0.74983,1.21141,0.90212,0.70155,0.8108,0.57912,1.20179,0.7159,1.08149,0.004753,0.004753,0.004753
55,67233.2,1.15142,0.74148,1.20486,0.8975,0.70273,0.81253,0.57998,1.20042,0.71426,1.0801,0.004654,0.004654,0.004654
56,68291.4,1.15105,0.73383,1.20887,0.89793,0.70392,0.81228,0.5809,1.19629,0.71139,1.07841,0.004555,0.004555,0.004555
57,69350.6,1.14218,0.72335,1.19604,0.89916,0.70508,0.81411,0.58278,1.19392,0.70786,1.077,0.004456,0.004456,0.004456
58,70410.7,1.12493,0.71817,1.19031,0.89646,0.70523,0.81524,0.58331,1.19127,0.70451,1.07516,0.004357,0.004357,0.004357
59,71474.7,1.12218,0.70884,1.18424,0.90037,0.70388,0.81503,0.58425,1.18815,0.70147,1.07354,0.004258,0.004258,0.004258
60,72539.8,1.11163,0.69749,1.18228,0.89903,0.70392,0.81725,0.58514,1.18626,0.6989,1.07155,0.004159,0.004159,0.004159
61,73611.6,1.10479,0.69386,1.17591,0.89756,0.70749,0.81679,0.58624,1.18379,0.69452,1.06963,0.00406,0.00406,0.00406
62,74681,1.09344,0.68108,1.17103,0.90092,0.70868,0.81784,0.58834,1.18328,0.69353,1.06825,0.003961,0.003961,0.003961
63,75758.7,1.08782,0.67527,1.16663,0.90521,0.70392,0.81867,0.58871,1.18017,0.69047,1.06663,0.003862,0.003862,0.003862
64,76840.1,1.07372,0.66579,1.15638,0.90592,0.70571,0.8188,0.58986,1.17728,0.68772,1.0648,0.003763,0.003763,0.003763
65,77925.5,1.06714,0.65734,1.15649,0.90694,0.70689,0.81993,0.59154,1.17573,0.68663,1.06358,0.003664,0.003664,0.003664
66,79014.5,1.05129,0.64804,1.14365,0.90997,0.7063,0.82087,0.59276,1.17333,0.68464,1.06188,0.003565,0.003565,0.003565
67,80106,1.05328,0.64168,1.14046,0.91148,0.7063,0.8226,0.59381,1.17053,0.68339,1.05945,0.003466,0.003466,0.003466
68,81191.7,1.04363,0.63671,1.13594,0.91309,0.70571,0.8213,0.59575,1.16925,0.68169,1.05744,0.003367,0.003367,0.003367
69,82279.5,1.02957,0.62238,1.12873,0.91308,0.70571,0.82242,0.59762,1.16682,0.68094,1.05554,0.003268,0.003268,0.003268
70,83366.9,1.02545,0.62138,1.12738,0.91216,0.70749,0.82366,0.59903,1.16223,0.67707,1.05319,0.003169,0.003169,0.003169
71,84458.2,1.01613,0.61179,1.12113,0.89487,0.72057,0.82423,0.59969,1.15945,0.67556,1.05102,0.00307,0.00307,0.00307
72,85538.8,1.00166,0.60243,1.11236,0.89829,0.7194,0.8232,0.59978,1.15595,0.67472,1.04862,0.002971,0.002971,0.002971
73,86613.7,0.99775,0.60122,1.10992,0.89961,0.71922,0.8231,0.60088,1.15315,0.67339,1.0464,0.002872,0.002872,0.002872
74,87880.8,0.98585,0.5881,1.10369,0.89654,0.7213,0.82347,0.60173,1.1515,0.67282,1.04467,0.002773,0.002773,0.002773
75,88951.3,0.97716,0.58387,1.10064,0.89838,0.72176,0.82344,0.60237,1.1504,0.67123,1.04327,0.002674,0.002674,0.002674
76,91602.7,0.97251,0.58171,1.09936,0.90113,0.72066,0.82212,0.60287,1.1479,0.66968,1.04159,0.002575,0.002575,0.002575
77,160622,0.9657,0.57064,1.09421,0.90885,0.7173,0.82378,0.60431,1.14354,0.66785,1.03979,0.002476,0.002476,0.002476
78,161748,0.94915,0.56069,1.08448,0.91188,0.71284,0.82316,0.60502,1.13993,0.66658,1.03768,0.002377,0.002377,0.002377
79,162970,0.94532,0.55731,1.08476,0.91068,0.71463,0.82324,0.60608,1.13958,0.66653,1.03586,0.002278,0.002278,0.002278
80,164102,0.93475,0.54805,1.07838,0.91398,0.71381,0.82327,0.60654,1.13572,0.66453,1.0343,0.002179,0.002179,0.002179
81,165206,0.9242,0.54461,1.07243,0.91911,0.71165,0.82344,0.60772,1.13341,0.664,1.03234,0.00208,0.00208,0.00208
82,166322,0.91759,0.53748,1.0731,0.91604,0.71165,0.82324,0.60874,1.13199,0.66333,1.03109,0.001981,0.001981,0.001981
83,167471,0.90327,0.53048,1.06487,0.9188,0.71307,0.82305,0.60994,1.13064,0.66139,1.02977,0.001882,0.001882,0.001882
84,168608,0.89575,0.52455,1.05977,0.92027,0.71225,0.82286,0.61085,1.12742,0.66097,1.02778,0.001783,0.001783,0.001783
85,169728,0.89008,0.51928,1.05601,0.92076,0.71344,0.82359,0.61152,1.12572,0.66031,1.02687,0.001684,0.001684,0.001684
86,170878,0.87885,0.51277,1.0508,0.91863,0.71225,0.82358,0.61219,1.12374,0.66012,1.02474,0.001585,0.001585,0.001585
87,172009,0.8663,0.50458,1.04599,0.91934,0.71225,0.82308,0.61319,1.12292,0.65853,1.02405,0.001486,0.001486,0.001486
88,173181,0.85783,0.49746,1.03831,0.92014,0.71165,0.82428,0.61455,1.12104,0.65833,1.02266,0.001387,0.001387,0.001387
89,174353,0.85096,0.49183,1.0346,0.91582,0.71165,0.82424,0.61545,1.11922,0.65948,1.02077,0.001288,0.001288,0.001288
90,175561,0.83919,0.48256,1.03187,0.91734,0.70927,0.82312,0.61616,1.11681,0.65826,1.01986,0.001189,0.001189,0.001189
91,176762,0.8463,0.42034,1.01244,0.92673,0.70571,0.82397,0.61802,1.11517,0.65799,1.01866,0.00109,0.00109,0.00109
92,177958,0.82532,0.40828,0.99927,0.93083,0.70404,0.82476,0.62034,1.11288,0.65647,1.01715,0.000991,0.000991,0.000991
93,179137,0.8072,0.39997,0.99221,0.92014,0.71165,0.82552,0.62105,1.11225,0.65716,1.01629,0.000892,0.000892,0.000892
94,180330,0.79455,0.39203,0.98268,0.92043,0.71046,0.82573,0.62165,1.10934,0.65652,1.01433,0.000793,0.000793,0.000793
95,181477,0.7803,0.38427,0.97519,0.91699,0.71106,0.82609,0.62175,1.10724,0.65584,1.01288,0.000694,0.000694,0.000694
96,182616,0.76922,0.38095,0.9721,0.91565,0.70997,0.82622,0.62348,1.10513,0.65645,1.01124,0.000595,0.000595,0.000595
97,183747,0.75831,0.37477,0.96505,0.90434,0.71938,0.82595,0.62474,1.10192,0.65515,1.00944,0.000496,0.000496,0.000496
98,184904,0.74215,0.36804,0.95811,0.92394,0.70571,0.82393,0.62481,1.0993,0.65465,1.00763,0.000397,0.000397,0.000397
99,186023,0.73404,0.36249,0.95416,0.92361,0.70927,0.82535,0.62547,1.09796,0.65494,1.00619,0.000298,0.000298,0.000298
100,187126,0.72254,0.35803,0.95013,0.92688,0.70749,0.8249,0.6272,1.09625,0.65386,1.00469,0.000199,0.000199,0.000199
